example_id                                                                         | status  | run_time        |
./spec/requests/apis/v1/job_categories_api_spec.rb[1:1:1]                          | passed  | 0.01466 seconds |
./spec/requests/apis/v1/job_categories_api_spec.rb[1:1:2]                          | passed  | 0.00604 seconds |
./spec/requests/apis/v1/job_categories_api_spec.rb[1:1:3]                          | passed  | 0.01287 seconds |
./spec/requests/apis/v1/profile_full_info_api_spec.rb[1:1:1]                       | passed  | 0.0576 seconds  |
./spec/requests/apis/v1/profile_full_info_api_spec.rb[1:1:2]                       | passed  | 0.03 seconds    |
./spec/requests/apis/v1/profile_full_info_api_spec.rb[1:1:3]                       | passed  | 0.00349 seconds |
./spec/requests/apis/v1/profile_full_info_api_spec.rb[1:1:4]                       | passed  | 0.00421 seconds |
./spec/requests/apis/v1/search_user_by_job_categories_spec.rb[1:1:1]               | passed  | 0.06713 seconds |
./spec/requests/apis/v1/search_user_by_job_categories_spec.rb[1:1:2]               | passed  | 0.01724 seconds |
./spec/requests/apis/v1/search_user_by_job_categories_spec.rb[1:1:3]               | passed  | 0.0017 seconds  |
./spec/requests/apis/v1/search_user_by_job_categories_spec.rb[1:1:4]               | passed  | 0.0031 seconds  |
./spec/requests/comments/user_comments_post_spec.rb[1:1]                           | passed  | 0.03611 seconds |
./spec/requests/invitation_requests/user_creates_invitation_request_spec.rb[1:1]   | passed  | 0.02327 seconds |
./spec/requests/invitation_requests/user_creates_invitation_request_spec.rb[1:2]   | passed  | 0.0247 seconds  |
./spec/requests/invitation_requests/user_creates_invitation_request_spec.rb[1:3]   | passed  | 0.00491 seconds |
./spec/requests/invitations/user_declines_invitation_spec.rb[1:1]                  | passed  | 0.02822 seconds |
./spec/requests/invitations/user_declines_invitation_spec.rb[1:2]                  | passed  | 0.02224 seconds |
./spec/requests/invitations/user_declines_invitation_spec.rb[1:3]                  | passed  | 0.02157 seconds |
./spec/requests/likes/user_likes_spec.rb[1:1:1]                                    | passed  | 0.00236 seconds |
./spec/requests/likes/user_likes_spec.rb[1:1:2]                                    | passed  | 0.04489 seconds |
./spec/requests/likes/user_likes_spec.rb[1:1:3]                                    | passed  | 0.05382 seconds |
./spec/requests/likes/user_likes_spec.rb[1:2]                                      | passed  | 0.04909 seconds |
./spec/requests/posts/user_edit_post_status_pin_spec.rb[1:1]                       | passed  | 0.04682 seconds |
./spec/requests/profile_photo/user_changes_profile_photo_spec.rb[1:1:1]            | passed  | 0.06588 seconds |
./spec/requests/profile_photo/user_removes_profile_photo_spec.rb[1:1:1]            | passed  | 0.0471 seconds  |
./spec/requests/searches/user_searches_posts_by_tag_spec.rb[1:1]                   | passed  | 0.01009 seconds |
./spec/requests/user_create_profile_job_category_spec.rb[1:1]                      | passed  | 0.02442 seconds |
./spec/requests/user_create_profile_job_category_spec.rb[1:2]                      | passed  | 0.00468 seconds |
./spec/requests/user_create_profile_job_category_spec.rb[1:3]                      | passed  | 0.03193 seconds |
./spec/requests/user_creates_education_info_spec.rb[1:1:1]                         | passed  | 0.03146 seconds |
./spec/requests/user_creates_education_info_spec.rb[1:2:1]                         | passed  | 0.0115 seconds  |
./spec/requests/user_creates_professional_info_spec.rb[1:1:1]                      | passed  | 0.03417 seconds |
./spec/requests/user_creates_professional_info_spec.rb[1:2:1]                      | passed  | 0.03768 seconds |
./spec/requests/user_edits_personal_info_spec.rb[1:1:1]                            | passed  | 0.03529 seconds |
./spec/requests/user_edits_personal_info_spec.rb[1:2:1]                            | passed  | 0.01823 seconds |
./spec/system/authentication/visitor_logs_in_spec.rb[1:1:1]                        | passed  | 0.54092 seconds |
./spec/system/authentication/visitor_logs_in_spec.rb[1:1:2]                        | passed  | 0.33434 seconds |
./spec/system/authentication/visitor_logs_in_spec.rb[1:2]                          | passed  | 0.945 seconds   |
./spec/system/authentication/visitor_logs_in_spec.rb[1:3:1]                        | passed  | 0.41125 seconds |
./spec/system/authentication/visitor_logs_in_spec.rb[1:3:2]                        | passed  | 0.39492 seconds |
